"Routing, Controllers & Views",
"Models",
"CRUD",
"Advanced Routing",
"Front-End",
"Hosting",
"Image Upload",
"Authenticating & Devise",
"Authorization & Pundit",
"Geocoding",
"Search",
"Ajax in Rails",
"Programming Basics"
